"Time"	"Function"	"Ncol"	"Nrow"	"Type"
16385	"loop"	10	10	"matrix"
35447	"apply"	10	10	"matrix"
35205	"apply"	10	10	"matrix"
35911	"apply"	10	10	"matrix"
35848	"apply"	10	10	"matrix"
16501	"loop"	10	10	"matrix"
35095	"apply"	10	10	"matrix"
35891	"apply"	10	10	"matrix"
7773	"colSums"	10	10	"matrix"
6035	"colSums"	10	10	"matrix"
6220	"colSums"	10	10	"matrix"
5895	"colSums"	10	10	"matrix"
15635	"loop"	10	10	"matrix"
36913	"apply"	10	10	"matrix"
7833	"colSums"	10	10	"matrix"
6308	"colSums"	10	10	"matrix"
6130	"colSums"	10	10	"matrix"
16067	"loop"	10	10	"matrix"
38000	"apply"	10	10	"matrix"
7839	"colSums"	10	10	"matrix"
18660	"loop"	10	10	"matrix"
38349	"apply"	10	10	"matrix"
36924	"apply"	10	10	"matrix"
7906	"colSums"	10	10	"matrix"
38253	"apply"	10	10	"matrix"
17364	"loop"	10	10	"matrix"
7790	"colSums"	10	10	"matrix"
37058	"apply"	10	10	"matrix"
36469	"apply"	10	10	"matrix"
14797	"loop"	10	10	"matrix"
7921	"colSums"	10	10	"matrix"
6298	"colSums"	10	10	"matrix"
5828	"colSums"	10	10	"matrix"
16688	"loop"	10	10	"matrix"
6498	"colSums"	10	10	"matrix"
35353	"apply"	10	10	"matrix"
7486	"colSums"	10	10	"matrix"
6260	"colSums"	10	10	"matrix"
5980	"colSums"	10	10	"matrix"
14861	"loop"	10	10	"matrix"
37094	"apply"	10	10	"matrix"
35556	"apply"	10	10	"matrix"
36014	"apply"	10	10	"matrix"
7598	"colSums"	10	10	"matrix"
35091	"apply"	10	10	"matrix"
7201	"colSums"	10	10	"matrix"
6227	"colSums"	10	10	"matrix"
16280	"loop"	10	10	"matrix"
14233	"loop"	10	10	"matrix"
34403	"apply"	10	10	"matrix"
15053	"loop"	10	10	"matrix"
7511	"colSums"	10	10	"matrix"
15629	"loop"	10	10	"matrix"
6352	"colSums"	10	10	"matrix"
13834	"loop"	10	10	"matrix"
13788	"loop"	10	10	"matrix"
13554	"loop"	10	10	"matrix"
37535	"apply"	10	10	"matrix"
14726	"loop"	10	10	"matrix"
36629	"apply"	10	10	"matrix"
7507	"colSums"	10	10	"matrix"
17195	"loop"	10	10	"matrix"
23074	"loop"	10	10	"matrix"
65704	"apply"	10	10	"matrix"
46587	"apply"	10	10	"matrix"
19179	"loop"	10	10	"matrix"
16023	"loop"	10	10	"matrix"
10976	"colSums"	10	10	"matrix"
42618	"apply"	10	10	"matrix"
47510	"apply"	10	10	"matrix"
18081	"loop"	10	10	"matrix"
8302	"colSums"	10	10	"matrix"
6674	"colSums"	10	10	"matrix"
37651	"apply"	10	10	"matrix"
7622	"colSums"	10	10	"matrix"
14614	"loop"	10	10	"matrix"
13820	"loop"	10	10	"matrix"
15016	"loop"	10	10	"matrix"
13999	"loop"	10	10	"matrix"
13737	"loop"	10	10	"matrix"
36761	"apply"	10	10	"matrix"
16186	"loop"	10	10	"matrix"
13802	"loop"	10	10	"matrix"
35288	"apply"	10	10	"matrix"
39240	"apply"	10	10	"matrix"
35761	"apply"	10	10	"matrix"
15009	"loop"	10	10	"matrix"
13506	"loop"	10	10	"matrix"
34029	"apply"	10	10	"matrix"
31925	"colSums"	10	10	"matrix"
28229	"loop"	10	10	"matrix"
14255	"loop"	10	10	"matrix"
13721	"loop"	10	10	"matrix"
6911	"colSums"	10	10	"matrix"
14224	"loop"	10	10	"matrix"
15031	"loop"	10	10	"matrix"
38079	"apply"	10	10	"matrix"
35367	"apply"	10	10	"matrix"
14773	"loop"	10	10	"matrix"
36373	"apply"	10	10	"matrix"
33787	"apply"	10	10	"matrix"
14634	"loop"	10	10	"matrix"
7678	"colSums"	10	10	"matrix"
38636	"apply"	10	10	"matrix"
7961	"colSums"	10	10	"matrix"
6429	"colSums"	10	10	"matrix"
6201	"colSums"	10	10	"matrix"
5617	"colSums"	10	10	"matrix"
36115	"apply"	10	10	"matrix"
34342	"apply"	10	10	"matrix"
34361	"apply"	10	10	"matrix"
35625	"apply"	10	10	"matrix"
15508	"loop"	10	10	"matrix"
13636	"loop"	10	10	"matrix"
7341	"colSums"	10	10	"matrix"
6286	"colSums"	10	10	"matrix"
5875	"colSums"	10	10	"matrix"
5864	"colSums"	10	10	"matrix"
38609	"apply"	10	10	"matrix"
35670	"apply"	10	10	"matrix"
14574	"loop"	10	10	"matrix"
7839	"colSums"	10	10	"matrix"
35519	"apply"	10	10	"matrix"
35835	"apply"	10	10	"matrix"
15266	"loop"	10	10	"matrix"
35978	"apply"	10	10	"matrix"
14608	"loop"	10	10	"matrix"
37729	"apply"	10	10	"matrix"
14620	"loop"	10	10	"matrix"
8462	"colSums"	10	10	"matrix"
6363	"colSums"	10	10	"matrix"
6241	"colSums"	10	10	"matrix"
5998	"colSums"	10	10	"matrix"
36447	"apply"	10	10	"matrix"
34902	"apply"	10	10	"matrix"
9978	"colSums"	10	10	"matrix"
6816	"colSums"	10	10	"matrix"
15001	"loop"	10	10	"matrix"
14184	"loop"	10	10	"matrix"
7053	"colSums"	10	10	"matrix"
14262	"loop"	10	10	"matrix"
6552	"colSums"	10	10	"matrix"
5885	"colSums"	10	10	"matrix"
16084	"loop"	10	10	"matrix"
6798	"colSums"	10	10	"matrix"
14202	"loop"	10	10	"matrix"
36595	"apply"	10	10	"matrix"
37371	"apply"	10	10	"matrix"
38872	"apply"	10	10	"matrix"
36549	"apply"	10	10	"matrix"
39030	"apply"	10	10	"matrix"
16687	"loop"	10	10	"matrix"
16399	"loop"	10	10	"matrix"
15165	"loop"	10	10	"matrix"
